date,AAPL,AMZN,ASML,DXCM,INTC,MSFT,NVDA,NFLX,PEP,SGEN
2009/1/2,2.767330466,2.718,27.12532958,0.69,10.00430617,15.24296322,1.999600955,4.267142772,37.583849,9.12
2009/1/5,2.884122484,2.703,27.00609307,0.82,9.813434541,15.38542082,2.036333004,4.562857052,37.33539404,9.21
2009/1/6,2.836551845,2.868,27.64691757,0.9175,10.11619644,15.56536727,2.105205598,4.705714192,37.40254403,9.47
2009/1/7,2.775258906,2.81,26.42482945,0.8525,9.504090864,14.62814621,1.978939177,4.672857049,36.18712922,9.25
2009/1/8,2.826793765,2.858,26.63346465,0.88,9.576490448,15.08551009,1.928432608,4.735714191,35.75736929,9.4
2009/1/9,2.762146486,2.7755,25.15798462,0.8125,9.313219233,14.63564398,1.820532213,4.608571336,35.30074936,8.93
2009/1/12,2.703598006,2.596,24.21901148,0.7975,9.076275139,14.59815514,1.747068113,4.458571339,34.50837949,8.95
2009/1/13,2.674628707,2.5725,24.41272777,0.835,8.997293775,14.86057703,1.756251126,4.419999912,35.0724394,9.16
2009/1/14,2.602052988,2.4245,23.20555856,0.775,8.608968732,14.31323994,1.67819552,4.219999916,34.31364452,8.73
2009/1/15,2.542589688,2.572,24.65120078,0.7825,8.74718612,14.42570646,1.737885101,4.517142767,33.93088958,9.02
2009/1/16,2.510570989,2.5795,24.9045927,0.875,9.043366237,14.77810158,1.834306731,4.465714196,34.49494949,9.53
2009/1/20,2.38463077,2.422,23.77190327,0.7575,8.464169564,13.85587606,1.655237989,4.261428486,33.86373959,9.54
2009/1/21,2.525817989,2.527,24.68103859,0.805,8.727440779,14.53067522,1.735589348,4.384285627,33.87045459,9.98
2009/1/22,2.694449807,2.497,23.74206546,0.82,8.437842443,12.82868179,1.703448804,4.405714198,33.8100196,10.02
2009/1/23,2.694449807,2.5315,24.17425475,0.7875,8.635295854,12.8961617,1.770025644,4.348571342,33.99132457,9.51
2009/1/26,2.733482126,2.4815,24.23393039,0.805,8.806422144,13.21856575,1.829715225,4.307142771,34.52852448,9.9
2009/1/27,2.766720586,2.422,25.36661981,0.835,9.0894387,13.24105905,1.937615621,4.974285615,34.67625446,10.46
2009/1/28,2.872534764,2.518,26.75270115,0.8175,9.221074307,13.52597425,2.01796698,5.165714182,34.94485442,10.08
2009/1/29,2.835941965,2.5,24.84503182,0.78,8.799840363,13.18857467,1.900883571,5.268571323,34.70311446,9.96
2009/1/30,2.748424186,2.941,24.65120078,0.8075,8.490496686,12.82118402,1.825123719,5.16285704,33.72943961,10.09
2009/2/2,2.790505905,3.0575,24.87475488,0.84,8.970966653,13.36852112,1.923841102,5.278571323,33.66228962,10.25
2009/2/3,2.835332085,3.1795,25.64973479,0.81,9.036784457,13.8708716,1.946798633,5.248571324,34.59567447,10.35
2009/2/4,2.852713665,3.053,25.38153872,0.835,9.229622392,13.96834259,2.001896708,5.264285609,34.57552948,10.26
2009/2/5,2.941451204,3.159,25.8882078,0.8275,9.475656994,14.2757511,2.148824907,5.352857036,35.15301939,10.66
2009/2/6,3.040861642,3.3275,27.27428914,0.9225,9.794837019,14.74061274,2.265908315,5.28571418,35.94538926,10.35
2009/2/9,3.125939901,3.3355,27.69167429,0.92,9.914529529,14.57566183,2.236063525,5.277142752,34.53523948,10.19
2009/2/10,2.983227983,3.1655,25.93296452,0.8525,9.362614069,14.09580465,2.139641894,5.167142754,33.25938969,10.23
2009/2/11,2.952429043,3.2175,25.6646537,0.955,9.362614069,14.40321316,1.871038781,5.167142754,33.98460957,10.36
2009/2/12,3.027139342,3.198,25.6646537,0.8925,9.309417398,14.440702,1.910066584,5.41857132,34.91799442,10.55
2009/2/13,3.023785003,3.163,26.43974836,0.8925,9.229622392,14.31323994,1.907770831,5.505714176,35.30074936,10.36
2009/2/17,2.882597784,3.0835,24.32332908,0.8525,8.784100273,13.65646155,1.797574681,5.317142751,34.79712444,10.15
2009/2/18,2.877718744,3.1175,24.01037628,0.85,8.883844031,13.67910908,1.845785497,5.28571418,34.60238947,10.09
2009/2/19,2.763976126,3.0975,23.36943703,0.9025,8.431672329,13.52057636,1.703448804,5.298571323,35.0522944,9.99
2009/2/20,2.781052766,3.193,23.07140315,0.9625,8.498168167,13.58851895,1.747068113,5.257142752,34.54866948,9.76
2009/2/23,2.651453267,3.0855,21.93871372,0.9525,8.032697298,12.99213396,1.666716754,5.082857041,33.68243462,9.36
2009/2/24,2.752083466,3.28,22.92232882,1.0425,8.464920248,12.96193725,1.815940706,5.151428468,34.70311446,9.47
2009/2/25,2.779833006,3.1855,23.19063965,0.9675,8.664407764,12.80340453,1.836602484,5.112857041,34.05847456,8.77
2009/2/26,2.719759826,3.117,22.98200446,0.9425,8.451621081,12.39574896,1.896292065,5.111428469,33.1855247,8.32
